iter	Passed	Remaining
0	0	90
1	1	88
2	2	83
3	3	74
4	3	73
5	4	72
6	5	70
7	6	69
8	6	68
9	7	68
10	8	67
11	9	66
12	9	64
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	14	60
19	14	59
20	15	57
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
