iter	Passed	Remaining
0	0	701
1	1	649
2	1	610
3	2	582
4	2	596
5	3	602
6	4	592
7	4	588
8	5	583
9	5	578
10	6	569
11	6	565
12	7	563
13	8	569
14	8	568
15	9	568
16	9	564
17	10	558
18	10	555
19	11	552
20	11	548
21	12	544
22	12	540
23	13	539
24	13	542
25	14	541
26	15	540
27	15	542
28	16	541
29	16	541
30	17	540
31	17	537
32	18	536
33	18	536
34	19	536
35	19	534
36	20	532
37	20	530
38	21	529
39	21	527
40	22	527
41	23	527
42	23	528
43	24	525
44	24	525
45	25	525
46	25	524
47	26	522
48	26	520
49	27	521
50	27	519
51	28	518
52	28	517
53	29	516
54	29	514
55	30	514
56	31	513
57	31	513
58	32	511
59	32	510
60	33	509
61	33	509
62	34	509
63	34	508
64	35	507
65	35	507
66	36	505
67	36	504
68	37	503
69	37	501
70	38	501
71	38	500
72	39	500
73	39	499
74	40	498
75	40	497
76	41	496
77	41	496
78	42	495
79	43	494
80	44	502
81	44	500
82	45	497
83	45	496
84	46	495
85	46	495
86	47	494
87	47	493
88	48	494
89	48	494
90	49	495
91	50	494
92	50	493
93	51	493
94	51	495
95	52	494
96	53	493
97	53	492
98	54	491
99	54	490
100	54	489
101	55	488
102	56	488
103	56	488
104	57	488
105	57	487
106	58	487
107	58	486
108	59	485
109	59	484
110	60	483
111	60	483
112	61	482
113	61	481
114	62	480
115	62	479
116	63	477
117	63	477
118	64	478
119	65	477
120	65	476
121	66	475
122	66	475
123	67	473
124	67	472
125	68	471
126	68	470
127	68	469
128	69	469
129	69	468
130	70	467
131	70	466
132	71	466
133	72	467
134	72	466
135	73	466
136	73	465
137	74	464
138	74	464
139	75	464
140	76	464
141	76	463
142	77	462
143	77	462
144	78	462
145	79	462
146	79	461
147	80	460
148	80	460
149	81	459
150	81	458
151	82	458
152	82	457
153	83	456
154	83	455
155	84	455
156	84	454
157	85	453
158	85	453
159	86	452
160	86	451
161	87	450
162	87	449
163	88	448
164	88	448
165	89	447
166	89	446
167	89	445
168	90	444
169	91	444
170	91	443
171	92	442
172	92	442
173	93	442
174	93	441
175	94	440
176	94	439
177	95	438
178	95	438
179	96	437
180	96	436
181	97	436
182	97	435
183	98	434
184	98	434
185	99	433
186	99	432
187	100	432
188	100	431
189	101	431
190	101	430
191	102	429
192	102	429
193	103	429
194	103	428
195	104	427
196	104	426
197	105	426
198	105	426
199	106	425
200	106	425
201	107	424
202	107	423
203	108	422
204	108	422
205	109	422
206	109	421
207	110	420
208	111	420
209	111	419
210	112	419
211	112	418
212	113	418
213	113	417
214	114	417
215	114	416
216	115	415
217	115	415
218	116	414
219	116	413
220	117	412
221	117	412
222	118	411
223	118	410
224	119	410
225	119	409
226	120	409
227	120	408
228	121	407
229	121	406
230	121	406
231	122	405
232	122	404
233	123	404
234	123	403
235	124	402
236	125	402
237	125	401
238	125	401
239	126	400
240	127	400
241	127	399
242	128	398
243	128	398
244	129	397
245	129	396
246	129	395
247	130	395
248	130	394
249	131	394
250	131	393
251	132	392
252	132	392
253	133	391
254	133	391
255	134	390
256	134	389
257	135	389
258	135	388
259	136	387
260	136	387
261	137	386
262	137	385
263	138	385
264	138	384
265	139	384
266	139	383
267	140	383
268	140	382
269	141	382
270	141	381
271	142	380
272	142	380
273	143	379
274	143	379
275	144	378
276	144	377
277	145	377
278	145	376
279	146	376
280	146	375
281	147	374
282	147	374
283	148	373
284	148	373
285	149	372
286	149	372
287	150	372
288	151	371
289	151	371
290	152	371
291	153	371
292	153	370
293	154	370
294	154	370
295	155	370
296	156	370
297	157	370
298	157	369
299	158	369
300	158	368
301	159	368
302	159	367
303	160	367
304	160	366
305	161	365
306	161	365
307	162	364
308	162	363
309	163	363
310	163	362
311	164	362
312	164	361
313	165	361
314	165	360
315	166	359
316	166	359
317	167	359
318	167	358
319	168	357
320	168	357
321	169	357
322	170	356
323	170	356
324	171	356
325	172	356
326	173	356
327	173	356
328	174	355
329	174	355
330	175	354
331	176	354
332	176	354
333	177	353
334	178	353
335	178	352
336	179	352
337	179	351
338	180	351
339	180	350
340	181	350
341	181	350
342	182	349
343	183	349
344	183	348
345	184	348
346	184	347
347	185	347
348	186	347
349	186	347
350	187	347
351	188	346
352	189	346
353	189	346
354	190	346
355	190	345
356	191	344
357	192	344
358	192	343
359	193	343
360	193	343
361	194	342
362	194	342
363	195	341
364	196	341
365	196	340
366	197	339
367	197	339
368	198	338
369	198	338
370	199	338
371	200	337
372	201	337
373	201	337
374	202	338
375	203	337
376	204	337
377	204	337
378	205	336
379	205	336
380	206	335
381	207	335
382	207	334
383	208	333
384	208	333
385	209	332
386	209	332
387	210	331
388	210	331
389	211	330
390	211	330
391	212	329
392	213	329
393	213	328
394	214	328
395	214	327
396	215	327
397	215	326
398	216	326
399	217	325
400	218	325
401	218	325
402	219	324
403	219	324
404	220	323
405	220	322
406	221	322
